device_id;user_id;device_type;os;browser;first_seen;is_trusted
186;1953;DESKTOP;Windows;Edge;28/08/2023;1
187;2112;tablet;Linux;Edge;20/01/2023;1
188;1062;DESKTOP;MacOS;Edge;03/10/2023;1
189;1206;DESKTOP;ios;;21/07/2024;1
190;2558;desktop;MacOS;Edge;23/08/2024;1
191;913;mobile;Windows;Safari;22/11/2024;True
192;2298;desktop;android;Firefox;14/04/2023;yes
193;2571;Tablet;MacOS;;10/09/2023;yes
194;2193;tablet;Windows;Firefox;22/07/2024;1
195;5575;mobile;MacOS;SAFARI;29/10/2024;0
196;557;Tablet;;Safari;09/05/2023;yes
197;4861;Mobile;Android;Edge;08/11/2023;1
198;2697;mobile;android;chrome;04/08/2024;no
199;1391;tablet;ios;;21/02/2024;False
200;1682;Tablet;Windows;Edge;01/04/2024;True
201;704;tablet;iOS;;27/03/2023;False
202;3354;desktop;android;Edge;13/10/2024;1
203;478;DESKTOP;Android;Chrome;27/05/2024;1
204;1746;desktop;;Chrome;28/07/2023;yes
205;2619;desktop;iOS;Edge;26/05/2023;
206;4599;DESKTOP;Windows;SAFARI;18/01/2024;
207;3365;mobile;MacOS;Safari;07/07/2024;0
208;5517;Mobile;Android;SAFARI;22/06/2023;True
209;5258;DESKTOP;iOS;;09/09/2023;1
210;2396;Mobile;Linux;Edge;04/07/2024;1
211;5057;mobile;MacOS;Safari;09/03/2024;False
212;2865;mobile;Linux;chrome;22/07/2024;yes
213;1283;desktop;;;07/04/2024;0
214;4227;desktop;android;SAFARI;12/02/2023;1
215;275;tablet;iOS;Chrome;02/01/2023;1
216;5261;tablet;MacOS;;20/04/2024;
217;1219;desktop;iOS;chrome;27/09/2024;no
218;5690;tablet;;Firefox;24/10/2023;0
219;633;Tablet;Windows;Safari;30/10/2024;yes
220;1845;Mobile;iOS;chrome;21/06/2023;False
221;3213;Mobile;android;;01/01/2023;False
222;5768;desktop;;Safari;03/03/2023;False
223;3527;tablet;ios;chrome;08/05/2024;0
224;824;Tablet;Linux;Safari;07/10/2023;yes
225;362;Mobile;ios;Edge;04/09/2024;no
226;1246;Mobile;Linux;chrome;14/09/2023;yes
227;3075;tablet;Windows;chrome;27/11/2024;1
228;4676;desktop;Linux;;25/01/2024;False
229;252;Tablet;iOS;;26/12/2023;no
230;5506;Tablet;MacOS;Safari;09/10/2024;0
231;2;DESKTOP;;Chrome;06/08/2023;1
232;305;mobile;MacOS;;22/08/2024;True
233;4621;Tablet;Linux;Edge;06/06/2024;False
234;548;desktop;;Edge;16/10/2023;False
235;555;mobile;Windows;Chrome;16/02/2023;yes
236;2117;tablet;ios;chrome;15/06/2023;yes
237;3498;DESKTOP;Windows;Safari;30/06/2024;1
238;1286;mobile;MacOS;Edge;30/07/2024;0
239;2544;mobile;Windows;chrome;13/03/2023;1
240;4675;DESKTOP;iOS;Safari;04/11/2023;
241;190;tablet;Linux;Safari;02/04/2023;1
242;2280;mobile;Linux;Safari;09/02/2024;1
243;5770;tablet;MacOS;chrome;06/05/2023;
244;1392;Mobile;;chrome;24/05/2023;1
245;5448;Mobile;Windows;Firefox;23/07/2024;False
246;3669;Mobile;ios;chrome;14/10/2023;True
247;3317;Mobile;android;chrome;18/03/2024;0
248;313;Tablet;Linux;Firefox;04/08/2023;False
249;568;Tablet;iOS;;17/09/2024;yes
250;5671;mobile;MacOS;chrome;31/05/2024;False
251;4128;tablet;Android;Firefox;22/11/2023;0
252;1307;desktop;Linux;;29/11/2024;1
253;701;tablet;ios;SAFARI;17/12/2023;no
254;5032;desktop;Windows;;12/10/2024;0
255;4897;Tablet;android;Chrome;25/09/2023;0
256;2335;DESKTOP;Linux;SAFARI;08/04/2024;
257;3242;mobile;android;Firefox;07/10/2023;0
258;2212;Mobile;iOS;Edge;09/09/2023;
259;2288;mobile;Android;SAFARI;09/11/2024;
260;2035;tablet;android;Safari;26/11/2023;0
261;1119;DESKTOP;MacOS;Chrome;16/12/2023;False
262;2036;tablet;android;Chrome;04/08/2023;0
263;5989;mobile;iOS;Firefox;15/04/2024;0
264;611;Tablet;Android;;05/09/2024;no
265;4171;Mobile;ios;chrome;03/12/2023;1
266;5725;mobile;Windows;Safari;17/01/2023;no
267;4142;Mobile;iOS;chrome;17/05/2023;1
268;1886;desktop;Windows;Edge;23/10/2024;False
269;205;Mobile;Linux;;03/01/2023;False
270;2346;Mobile;iOS;Firefox;15/09/2024;
271;3915;tablet;MacOS;SAFARI;02/05/2024;
272;1542;Mobile;Linux;chrome;05/01/2023;False
273;5856;Mobile;android;SAFARI;10/01/2023;False
274;4858;DESKTOP;android;SAFARI;19/11/2024;0
275;1964;desktop;iOS;Safari;27/06/2023;0
276;3352;Tablet;Windows;Chrome;28/02/2024;yes
277;4269;Mobile;android;Safari;23/07/2024;0
278;4773;DESKTOP;;;15/05/2024;1
279;870;mobile;android;;07/02/2024;1
280;2019;mobile;MacOS;chrome;05/07/2024;no
281;2832;mobile;Linux;Firefox;25/03/2023;0
282;3816;desktop;Linux;Safari;26/10/2024;1
283;2607;Tablet;Android;Chrome;28/10/2024;1
284;1624;mobile;android;Edge;21/03/2023;
285;3396;tablet;MacOS;chrome;05/07/2024;1
286;5080;DESKTOP;ios;Firefox;01/02/2023;no
287;4150;Mobile;ios;SAFARI;18/11/2024;False
288;863;DESKTOP;MacOS;chrome;31/03/2024;1
289;2022;Mobile;iOS;Firefox;19/11/2024;1
290;2663;DESKTOP;ios;Firefox;07/05/2023;
291;4702;Tablet;iOS;SAFARI;28/12/2023;0
292;5656;desktop;Android;Edge;21/01/2024;True
293;3624;Tablet;MacOS;chrome;07/09/2024;0
294;526;desktop;Linux;Edge;02/01/2024;False
295;1543;tablet;ios;chrome;01/02/2024;
296;2864;Mobile;MacOS;SAFARI;01/07/2023;True
297;260;Tablet;android;SAFARI;09/01/2023;0
298;4444;DESKTOP;Linux;SAFARI;08/05/2023;0
299;3183;Mobile;Linux;chrome;18/04/2024;yes
300;214;Tablet;iOS;Edge;15/01/2024;0
301;5644;tablet;Linux;chrome;17/07/2023;0
302;435;DESKTOP;ios;Chrome;31/03/2024;
303;5913;Mobile;MacOS;Firefox;10/01/2023;0
304;4600;Mobile;;Safari;15/08/2023;1
305;5280;tablet;MacOS;Safari;21/01/2023;1
306;1107;mobile;MacOS;Safari;15/10/2023;1
307;5274;desktop;iOS;Firefox;27/11/2024;no
308;5791;Tablet;MacOS;SAFARI;02/01/2024;no
309;2806;tablet;iOS;;16/07/2023;False
310;368;DESKTOP;MacOS;;03/04/2023;0
311;624;Tablet;iOS;chrome;20/09/2024;yes
312;2527;desktop;MacOS;Safari;02/10/2024;yes
313;242;DESKTOP;MacOS;Edge;07/11/2023;no
314;627;Mobile;MacOS;;15/08/2023;
315;544;mobile;ios;Chrome;28/08/2023;
316;551;tablet;ios;Edge;20/05/2024;0
317;143;tablet;android;Edge;07/01/2024;1
318;5028;DESKTOP;Linux;SAFARI;07/02/2023;yes
319;4408;DESKTOP;;SAFARI;15/10/2023;no
320;4813;desktop;MacOS;;19/05/2024;True
321;3143;desktop;Windows;Safari;12/09/2024;yes
322;1976;Tablet;android;;03/08/2023;yes
323;3682;desktop;;;08/01/2023;no
324;2418;Tablet;MacOS;Chrome;20/07/2023;False
325;295;Mobile;;Safari;15/10/2024;0
326;2528;Mobile;Android;Safari;10/02/2024;True
327;4231;Mobile;Android;Chrome;24/04/2023;True
328;4145;DESKTOP;MacOS;Safari;12/10/2023;0
329;3033;desktop;iOS;SAFARI;05/08/2024;True
330;7;tablet;MacOS;Firefox;27/05/2024;no
331;5293;tablet;MacOS;Chrome;20/05/2024;
332;148;desktop;MacOS;Safari;24/06/2023;0
333;550;tablet;Windows;chrome;19/07/2024;False
334;3026;Tablet;MacOS;SAFARI;18/07/2023;1
335;5551;mobile;Linux;;06/11/2024;False
336;5393;tablet;MacOS;Safari;02/08/2024;1
337;4815;Mobile;;Edge;19/11/2024;1
338;5015;Mobile;iOS;Safari;29/11/2024;1
339;3668;DESKTOP;MacOS;Firefox;09/09/2024;no
340;3945;DESKTOP;Linux;chrome;01/08/2024;yes
341;5349;desktop;android;SAFARI;29/06/2023;yes
342;4290;desktop;Windows;Edge;08/03/2023;1
343;4886;Tablet;iOS;;25/08/2024;False
344;1858;Tablet;iOS;Edge;12/05/2023;0
345;2839;mobile;iOS;Firefox;08/03/2023;
346;4954;Mobile;;Firefox;11/05/2023;yes
347;1618;DESKTOP;iOS;SAFARI;23/09/2023;1
348;3265;Tablet;Android;Safari;06/08/2024;0
349;2162;DESKTOP;Android;Safari;22/08/2023;no
350;53;Mobile;android;Firefox;19/06/2024;1
351;4586;mobile;;Safari;08/10/2023;1
352;3795;desktop;Android;Edge;16/07/2023;0
353;2173;DESKTOP;Linux;Safari;25/11/2024;1
354;979;DESKTOP;ios;Firefox;24/01/2023;yes
355;3058;tablet;android;;25/11/2024;yes
356;5929;Tablet;Linux;Safari;29/06/2024;False
357;900;desktop;iOS;Edge;21/09/2024;no
358;2025;mobile;Android;SAFARI;16/09/2023;False
359;1837;DESKTOP;ios;Edge;28/11/2024;True
360;5244;desktop;Linux;Edge;27/07/2024;1
361;1909;mobile;ios;;09/04/2024;0
362;520;Tablet;iOS;SAFARI;03/01/2023;False
363;1445;tablet;ios;Safari;13/03/2024;yes
364;3093;mobile;Android;chrome;18/10/2024;0
365;4361;tablet;Linux;SAFARI;20/11/2024;yes
366;4177;desktop;Android;Safari;27/10/2024;1
367;3561;Tablet;MacOS;Edge;23/02/2023;yes
368;4812;desktop;MacOS;Safari;27/11/2023;yes
369;5559;tablet;Android;chrome;18/03/2024;
370;2257;Mobile;Windows;Edge;21/02/2024;yes
371;793;Mobile;iOS;Firefox;08/10/2023;True
372;4389;desktop;android;Safari;05/05/2023;True
373;1634;desktop;MacOS;SAFARI;27/11/2024;0
374;4932;tablet;Linux;chrome;14/06/2024;True
375;2326;Tablet;android;Edge;22/04/2024;
376;5230;DESKTOP;android;Firefox;22/05/2024;0
377;3878;Mobile;iOS;SAFARI;06/01/2024;1
378;3750;Mobile;iOS;Safari;13/06/2024;1
379;2559;Tablet;Android;SAFARI;14/02/2023;
380;5142;tablet;Linux;Firefox;18/08/2023;
381;4284;desktop;Android;Firefox;18/02/2023;1
382;4087;DESKTOP;Linux;Firefox;12/10/2023;True
383;5794;DESKTOP;iOS;Edge;06/03/2024;yes
384;660;DESKTOP;;;29/06/2024;False
385;1019;DESKTOP;;Firefox;04/04/2024;True
386;4256;desktop;Windows;;20/11/2023;0
387;2014;Mobile;android;SAFARI;06/01/2023;1
388;2526;desktop;;Firefox;06/02/2024;True
389;1068;Mobile;MacOS;chrome;19/07/2023;0
390;365;DESKTOP;Windows;Chrome;09/12/2023;True
391;5101;Tablet;Android;chrome;25/03/2023;
392;1056;tablet;iOS;Chrome;08/08/2024;
393;5494;Tablet;MacOS;chrome;26/01/2023;0
394;680;tablet;Android;Safari;20/08/2023;0
395;4958;desktop;iOS;SAFARI;09/03/2024;0
396;4296;mobile;;Firefox;18/03/2023;no
397;3907;desktop;Linux;SAFARI;13/09/2023;yes
398;4613;DESKTOP;Windows;chrome;21/07/2023;1
399;2524;tablet;;Safari;18/06/2023;1
400;1736;Tablet;;Chrome;04/12/2023;1
401;3917;Tablet;android;Safari;15/11/2023;0
402;2921;mobile;MacOS;Firefox;06/03/2023;False
403;3184;tablet;MacOS;Chrome;03/10/2024;no
404;5315;tablet;MacOS;chrome;02/10/2024;0
405;3118;desktop;android;chrome;10/04/2023;1
406;1773;desktop;iOS;chrome;29/01/2023;1
407;3894;DESKTOP;;SAFARI;06/05/2024;1
408;3458;desktop;Android;chrome;18/03/2024;True
409;1616;tablet;Linux;;25/01/2023;no
410;5354;tablet;Windows;Firefox;29/08/2024;0
411;5837;tablet;MacOS;Firefox;03/10/2024;False
412;3461;tablet;android;Safari;09/12/2023;no
413;1584;tablet;Linux;SAFARI;14/09/2023;yes
414;3335;Mobile;android;Safari;11/09/2023;
415;812;mobile;android;chrome;21/04/2023;1
416;288;tablet;ios;Firefox;29/04/2024;no
417;3159;desktop;;chrome;02/09/2023;1
418;2279;DESKTOP;ios;chrome;15/12/2023;0
419;833;DESKTOP;Android;chrome;25/02/2023;1
420;871;Mobile;iOS;Safari;08/12/2023;0
421;4205;Mobile;;Chrome;16/06/2024;False
422;4245;Mobile;Android;Edge;31/08/2023;no
423;2259;desktop;;Chrome;16/03/2023;no
424;291;mobile;android;chrome;06/09/2024;no
425;4514;DESKTOP;Linux;Edge;26/09/2024;yes
426;184;Tablet;Android;Chrome;25/03/2024;False
427;4507;Mobile;android;chrome;08/04/2023;True
428;1662;DESKTOP;Windows;Firefox;02/10/2024;True
429;377;tablet;;SAFARI;02/04/2024;1
430;2039;Mobile;iOS;;15/08/2024;True
431;2081;mobile;iOS;Edge;08/05/2023;1
432;4942;Mobile;Windows;Edge;29/03/2023;True
433;2441;tablet;Windows;Safari;04/03/2023;0
434;125;desktop;Linux;chrome;04/02/2023;False
435;1823;mobile;Android;Safari;22/01/2024;0
436;1225;mobile;;Firefox;17/11/2023;no
437;643;Mobile;MacOS;Edge;08/03/2023;yes
438;2460;Mobile;MacOS;;11/05/2023;0
439;3175;DESKTOP;iOS;Safari;05/03/2023;
440;986;DESKTOP;MacOS;Safari;28/03/2024;0
441;827;tablet;MacOS;Safari;26/02/2023;1
442;222;desktop;Linux;SAFARI;05/11/2023;0
443;2393;tablet;Windows;;17/09/2024;0
444;5338;mobile;Windows;Chrome;03/10/2024;no
445;5682;Mobile;iOS;Edge;18/03/2024;True
446;5829;Mobile;MacOS;Edge;09/03/2023;yes
447;4577;Mobile;MacOS;Chrome;15/04/2023;1
448;56;Tablet;Android;SAFARI;24/11/2024;yes
449;4972;DESKTOP;MacOS;Chrome;27/02/2023;
450;2531;desktop;Windows;;26/07/2024;1
451;1949;mobile;Windows;chrome;23/02/2023;yes
452;4309;desktop;ios;Edge;29/10/2023;True
453;1211;desktop;iOS;;26/01/2024;False
454;3752;mobile;Linux;SAFARI;16/02/2024;no
455;1214;Tablet;ios;;09/04/2023;0
456;3543;Mobile;Android;Chrome;24/09/2024;1
457;859;desktop;;SAFARI;25/02/2024;0
458;703;DESKTOP;ios;chrome;27/08/2023;1
459;5934;tablet;;Safari;05/09/2024;False
460;3132;DESKTOP;Windows;;06/11/2024;0
461;4597;Mobile;MacOS;SAFARI;30/09/2024;False
462;1037;mobile;Linux;Edge;11/01/2023;
463;109;tablet;;Safari;09/04/2024;1
464;3702;Tablet;iOS;chrome;29/01/2024;1
465;3563;DESKTOP;;chrome;20/04/2024;yes
466;3465;DESKTOP;android;SAFARI;14/03/2024;
467;3539;desktop;android;SAFARI;27/09/2024;True
468;459;desktop;android;Firefox;26/09/2024;False
469;2280;desktop;Linux;Chrome;14/04/2023;0
470;1383;DESKTOP;Linux;Safari;14/12/2023;True
471;3795;mobile;android;Safari;28/10/2024;False
472;3241;mobile;Windows;Edge;22/11/2024;1
473;3495;mobile;ios;Edge;27/01/2023;yes
474;4117;DESKTOP;Windows;Chrome;09/04/2024;0
475;1531;desktop;Android;chrome;13/06/2024;no
476;3090;mobile;MacOS;;03/12/2023;0
477;3176;DESKTOP;android;Edge;24/08/2024;0
478;1417;mobile;ios;Safari;17/07/2023;yes
479;589;tablet;Android;Chrome;21/04/2023;yes
480;4044;DESKTOP;Linux;;16/04/2023;True
481;4754;desktop;MacOS;;13/01/2023;0
482;2237;tablet;MacOS;SAFARI;01/09/2024;1
483;848;mobile;MacOS;SAFARI;11/03/2023;yes
484;3061;Tablet;Linux;Edge;30/08/2024;
485;5999;tablet;iOS;Safari;18/07/2023;0
486;5843;mobile;Android;Edge;09/08/2024;False
487;4770;desktop;Android;SAFARI;10/05/2023;0
488;5029;mobile;iOS;Chrome;14/10/2024;1
489;695;mobile;;Edge;05/06/2024;1
490;2687;Tablet;MacOS;Chrome;20/09/2023;False
491;712;desktop;ios;Edge;30/12/2023;True
492;584;desktop;;Chrome;07/03/2024;
493;4193;Mobile;iOS;;07/05/2024;1
494;3289;DESKTOP;MacOS;Safari;27/09/2024;1
495;654;tablet;Android;;31/03/2024;1
496;4764;tablet;Windows;Chrome;10/07/2023;yes
497;4138;DESKTOP;MacOS;Edge;06/09/2023;no
498;3030;mobile;MacOS;Edge;21/05/2023;0
499;3036;mobile;Linux;Edge;15/02/2023;
500;306;Tablet;android;SAFARI;03/03/2023;0
501;4661;Mobile;;;11/05/2023;0
502;5903;Tablet;ios;chrome;16/11/2023;yes
503;5193;mobile;android;Safari;21/08/2024;1
504;2731;desktop;;Safari;22/03/2024;1
505;3951;Mobile;iOS;Edge;09/06/2024;1
506;379;tablet;Linux;Chrome;29/10/2024;True
507;5761;DESKTOP;Windows;Chrome;02/01/2024;1
508;4543;DESKTOP;MacOS;chrome;15/11/2023;0
509;1337;Tablet;ios;Firefox;20/08/2024;
510;2875;DESKTOP;MacOS;chrome;08/07/2024;1
511;2633;Mobile;;chrome;30/05/2023;0
512;1891;DESKTOP;iOS;Chrome;31/05/2023;True
513;3026;tablet;ios;;25/04/2024;0
514;2507;mobile;android;SAFARI;13/11/2023;
515;1942;mobile;Android;;09/09/2024;
516;4479;DESKTOP;ios;SAFARI;18/12/2023;no
517;3644;DESKTOP;MacOS;Chrome;26/10/2023;False
518;3765;desktop;Linux;;13/01/2024;
519;1327;DESKTOP;Linux;chrome;09/01/2023;1
520;1165;Tablet;MacOS;;14/06/2024;0
521;2455;Tablet;ios;Edge;23/08/2024;1
522;5275;Tablet;MacOS;SAFARI;04/11/2024;1
523;3748;DESKTOP;android;Safari;25/11/2024;yes
524;5514;Tablet;;Chrome;29/05/2023;True
525;2786;Tablet;android;Chrome;28/02/2023;False
526;2558;mobile;iOS;chrome;01/09/2023;no
527;690;mobile;MacOS;Edge;03/06/2024;False
528;4740;Mobile;iOS;chrome;26/07/2024;yes
529;3945;Tablet;iOS;chrome;25/02/2023;True
530;1759;tablet;Linux;chrome;08/03/2024;0
531;1828;mobile;Android;Firefox;19/12/2023;1
532;1791;desktop;ios;chrome;20/07/2023;False
533;1303;Tablet;Linux;Edge;25/07/2023;
534;1433;Mobile;Windows;Edge;17/10/2024;no
535;89;desktop;Windows;chrome;26/07/2023;True
